Day Mon Year    Open	 High	Low	Close
3 5 2010	18.06	18.15	17.23	17.42
3 8 2010	17.95	17.96	17.56	17.79
3 9 2010	18.18	18.19	17.51	17.92
3 10 2010	18	18.6	17.43	18.57
3 11 2010	18.9	19.34	18.06	18.06
3 12 2010	17.97	18.53	17.58	17.58
3 15 2010	18.28	18.78	17.96	18
3 16 2010	17.78	18.01	17.42	17.69
3 17 2010	16.97	17.17	16.52	16.91
3 18 2010	16.96	16.99	16.31	16.62
3 19 2010	16.17	17.57	16.17	16.97
3 22 2010	18.3	18.34	16.77	16.87
3 23 2010	16.84	17.09	16.21	16.35
3 24 2010	16.85	17.92	16.83	17.55
3 25 2010	17.07	18.54	16.62	18.4
3 26 2010	18.27	18.69	17.35	17.77
3 29 2010	18.17	18.28	17.57	17.59
3 30 2010	17.64	18.08	17.13	17.13
3 31 2010	17.66	17.92	17.29	17.59
4 1 2010	17.01	18.09	16.79	17.47
4 5 2010	17.96	18.16	17.02	17.02
4 6 2010	17.39	17.54	16.08	16.23
4 7 2010	16.72	17.21	16.16	16.62
4 8 2010	17.21	17.8	16.3	16.48
4 9 2010	16.32	16.65	16.06	16.14
4 12 2010	15.67	16	15.23	15.58
4 13 2010	15.98	16.77	15.81	16.2
4 14 2010	15.8	16.38	15.55	15.59
4 15 2010	15.87	16.5	15.68	15.89
4 16 2010	16.19	19.7	16.11	18.36
4 19 2010	19.14	19.55	17.34	17.34
